"CLUSTER LEVEL 0","ELEMENT NAME","HIERARCHY ID","1.01","1.02","1.03","1.04","1.05","1.06","1.07","1.08","1.09","1.10","1.11","1.12","1.13","1.14","1.15","1.16","1.17","1.18",
"SYSTEM","Wheel front axle","1.01"," ","0.8002901489811242","0.8008671666347663","0.8019922480384365","0.8020828442326843","0.801717695154367","0.8003916677978229","0.8003574027873616","0.800341290976704","0.800351200333608","0.8003814331932182","0.8001054072393132","0.8003351024203411","0.8003865480534903","0.8001095525250514","0.8003392766076325","0.8006445143271761","0.8002753968402857",
"SYSTEM","Hub front axle","1.02","0.8003144813622866"," ","0.8007866077194828","0.801779577081892","0.8016003798067488","0.8016662290342841","0.8004105012714189","0.8004205136926623","0.8004018547530729","0.8007338377148373","0.8007831359864579","0.8002564152836823","0.8006892307127806","0.8007616158745451","0.8001796406422542","0.8006729934240252","0.8005807098917088","0.8003611530743994",
"SYSTEM","Steering knuckle front axle","1.03","0.6958566038457106","0.695300675560417"," ","0.6944687662142439","0.693799847652584","0.6926413770746062","0.6885072748001004","0.6951501807973703","0.6951944747663854","0.7005011809256528","0.700329369159608","0.6973212285263305","0.7003089571804921","0.7003614240877623","0.686466125125597","0.7000254621573867","0.6951716768003972","0.2165775141588927",
"SYSTEM","Knuckle arm front axle","1.04","0.20051138818545633","0.20043847362570844","0.20118282011114708"," ","0.2004995361540641","0.20036600612108693","0.20013134155291798","0.20012275222715495","0.2001212194803282","0.20068014310393992","0.20077431349934105","0.2000564844330161","0.20069198764318755","0.2008134508032398","0.20006469208415947","0.20078014947908654","0.20020527778233588","0.20011872954814444",
"SYSTEM","Frame front axle","1.05","0.20053945192222483","0.20039298850214496","0.20120594768283112","0.2004975905537012"," ","0.20033843638663026","0.20010577150222153","0.20011991895375617","0.20011688425409313","0.20066376579375075","0.20075813012848476","0.20005228356956692","0.2006670313400206","0.20079891448085396","0.20006427197265747","0.20074142253857474","0.20016120352181313","0.2001080057948956",
"SYSTEM","Tie rod front axle","1.06","0.20043743437348555","0.20039878072571976","0.20062427493945156","0.20035830513221495","0.2003334481202598"," ","0.2000876395824383","0.20009966758225387","0.20009586690286954","0.20013153581932316","0.2001514569656702","0.2000365132621868","0.20012393613358662","0.2001611845632492","0.20004163449535142","0.20013011405744005","0.20015442223451574","0.20006089930287002",
"SYSTEM","Angle sensor front axle","1.07","0.5336056578288941","0.5336012488315052","0.5338682559910335","0.5336135311885178","0.5336157679850738","0.5335847233609963"," ","0.5335830837222351","0.5335600955075099","0.5334484486953233","0.5334756986368548","0.5333804688026156","0.5334371407147673","0.5334834132131216","0.5333572250028632","0.5334277609374762","0.5334093605061733","0.5333623270381527",
"SYSTEM","Speedometer","1.08","0.5336609076107206","0.5336815848908385","0.5338019401802616","0.533645160689679","0.5336778711869433","0.5336666342095546","0.5335875357085395"," ","0.5333424966617675","0.5334108337665784","0.5334253151847074","0.5333998416964979","0.5334034167392216","0.5334238408817422","0.5333728222005508","0.5333905231909629","0.5335932133212271","0.5335631817186564",
"SYSTEM","ECU","1.09","0.6336672771489275","0.6336878995625383","0.6338170533346369","0.6336524107018242","0.6336848432637814","0.6336730073205511","0.633587941325208","0.6333434936886367"," ","0.6334141320007319","0.6334293625541448","0.6334019899070906","0.6334063951121738","0.633428062420148","0.6333738477713299","0.6333929433531184","0.6335915967574867","0.6335673184263333",
