"CLUSTER LEVEL 0","ELEMENT NAME","HIERARCHY ID","1.01","1.02","1.03","1.04","1.05","1.06","1.07","1.08","1.09","1.10","1.11","1.12","1.13","1.14","1.15",
"SYSTEM","Wheel front axle","1.01"," ","0.21395479471822698","0.2078210569335881","0.06362568682283609","0.05424172704543162","0.04088777827615597","0.008254332985786705","0.0057878631179163476","0.0054597563507752245","0.03263591619780537","0.01931422148037698","0.041669953846990904","0.03335691232086013","0.05393998689991919","0.019436696279167553",
"SYSTEM","Hub front axle","1.02","0.009254732798782528"," ","0.40485435266353975","0.08467880396502525","0.0876705453146841","0.057501855998950746","0.009091993391353914","0.005721721345874786","0.00539042787331967","0.03721771119233708","0.01874270415298762","0.021779521266290458","0.041788628715676235","0.07193944094610039","0.0189153349278931",
"SYSTEM","Steering knuckle front axle","1.03","0.002890026331676787","0.1019460383411942"," ","0.04616052050824471","0.03202812135573907","0.02183679132198868","0.0028814149832029345","0.0017067783327218145","0.001607865215572768","0.009616694425200412","0.005307291974421702","0.0062527833998330395","0.01115674151839574","0.017470894704240347","0.00517216388180497",
"SYSTEM","Knuckle arm front axle","1.04","0.010482107757601944","0.02352969915393488","0.048142153821875255"," ","0.028859575311549812","0.035136812787777916","0.0025515503013265883","0.001331377885546492","0.0012503042581318846","0.005185603430808983","0.003618674217490403","0.004561406619694175","0.006555376091753495","0.008657097615704878","0.0031641101470807342",
"SYSTEM","Frame front axle","1.05","0.0030027578273247313","0.022657647580344165","0.032451231996912466","0.028507049566202647"," ","0.04267744879813351","0.0038336178937322662","0.0015240158229834488","0.0014344736518787649","0.007905300133638327","0.0060837555302518664","0.007945999856730945","0.01250020632195148","0.014328900784320808","0.004779103250875494",
"SYSTEM","Tie rod front axle","1.06","0.002560553904323859","0.014957353333930001","0.0222223498428038","0.03489457968474263","0.04269249452266943"," ","0.003519282504040322","0.0015446221461575815","0.0014474528808630094","0.005126718303621325","0.00424651822163058","0.005519373122763738","0.00755936727015849","0.008686662751005492","0.0032750041692677367",
"SYSTEM","Angle sensor front axle","1.07","0.01655157250449657","0.009545106990832775","0.01109695278978351","0.007557632839290118","0.010971404364952364","0.00993810954580776"," ","0.004054403734996104","0.0038086456800037194","0.007442065598050052","0.013891932642406735","0.019148020024139956","0.011456151661717873","0.00984606440495528","0.006835848539112899",
"SYSTEM","Speedometer","1.08","0.004447538924393424","0.004693672865905718","0.005336909229780806","0.0036440705066892454","0.00421893764985648","0.004231661953930654","0.004003710689762019"," ","0.5333634106543861","0.004528117971543177","0.0050966936652965256","0.005396388011778774","0.005193570833526562","0.0054279954053447765","0.0040797224127290255",
"SYSTEM","ECU","1.09","0.0043139760153115825","0.005097428828817363","0.0057655805072490685","0.004007667985334251","0.004665592968008392","0.004673073473016931","0.004457164270415426","0.6333593732537881"," ","0.005084976998268487","0.005740282026597154","0.006047661733919685","0.005820224649721206","0.006069910935169176","0.004602943185982311",
"SYSTEM","Hydraulic oil reservoir","1.10","0.014481622869972233","0.024562349138604556","0.024888869360139565","0.012122436498135492","0.018819379612921905","0.012246190053992523","0.006180673792061331","0.0039220874479151124","0.0037308634134346486"," ","0.028974162716257856","0.02669668333743125","0.06923317538725526","0.12910608508170507","0.06379614953161816",
"SYSTEM","Steering actuation cylinder front axle","1.11","0.024712823064015677","0.016047839656626595","0.01728121576777375","0.009419034054556241","0.015216294005877429","0.010675040095285304","0.012086634889436731","0.004519403464959382","0.0043018632032660875","0.02945218620286494"," ","0.12139812653319082","0.04844554377797561","0.031761644380894904","0.042593460265118566",
"SYSTEM","Servo valve front axle","1.12","0.012448779429079626","0.01856128787548439","0.020469935883630996","0.013015798670488077","0.023885769587822958","0.016588610956945193","0.020882948587275574","0.005930746818602839","0.005628649203934799","0.03386684982279098","0.15494399836876094"," ","0.07671104184751198","0.04336773567206342","0.0347595398848336",
"SYSTEM","Pump front axle","1.13","0.01798379335113942","0.03477578698459827","0.03625199125502754","0.019567060997075947","0.037791361885127106","0.022938112826077384","0.012431036421761021","0.005781612381978496","0.0054865032921036505","0.0886914974703712","0.06143994505831196","0.07701938512927253"," ","0.16390009011942186","0.04841908566047992",
"SYSTEM","Filter front axle","1.14","0.009728646117857065","0.02005216446802982","0.019222624809808964","0.008673928180506052","0.01463387794421478","0.00890256074558149","0.003461546706141405","0.0020086448410781","0.0019073403962638347","0.05574480602497034","0.013362145373348233","0.0148042040528793","0.0552216862312952"," ","0.01633842257441742",
"SYSTEM","Cooler front axle","1.15","0.009371136473068309","0.014399340045897824","0.015316924666500142","0.008418748651408903","0.01297096413409593","0.008901974586483452","0.006607989118245006","0.0040483252046306095","0.0038613255021435755","0.07284803258651618","0.04831725581858792","0.03111581751719572","0.04312916628847152","0.043199389615215855"," ",
