"ELEMENT NAME","HIERARCHY ID","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26",
"Steering knuckle front axle","1"," ","0.20023974257808824","0.20063307691888338","0.20058989140403896","0.20015932669032963","0.20010308168421073","0.20010696753686524","0.20009882833203876","0.20037982093962964","0.2003553714582579","0.20028127536184506","0.20028202098969464","0.20033682854123244","0.20021769148322144","0.20005710717467806","0.20005726085963557","0.20005563765293075","0.2003291853573356","0.20005994783029418","0.2002810473049933","0.2003064049986977","0.20027724775246586","0.20004890301278686","0.2000505621872933","0.20005131293964945","0.20023639110902502",
"Knuckle arm front axle","2","0.2001995737470341"," ","0.2003915670298194","0.2002856908311921","0.20009288702492456","0.2000813375484929","0.20008108254227788","0.20028523712742471","0.20021701609094902","0.20019947757827353","0.20017545363150363","0.2002264638194023","0.2002754320476592","0.20014725024792382","0.2000275242837273","0.2000273295327566","0.2000269761453453","0.20028947302350233","0.2000277538338972","0.20004513419711759","0.2000543024844663","0.2000454033810362","0.20002596437218526","0.20002620135279428","0.2000260545841591","0.20003366692326063",
"Frame front axle","3","0.20031539721718244","0.20038337157111621"," ","0.20025311889122765","0.20010356605491011","0.20009982588489147","0.2001013383352841","0.20024239402246016","0.20032069224604745","0.20031801798516888","0.20023167939994796","0.2002753179481456","0.200381409757118","0.20021637263464387","0.20003789620022666","0.20003817598951143","0.20003707141049057","0.20040703484567327","0.20003861543649124","0.2000601562235358","0.2000721308418446","0.20006014334959776","0.2000356652963605","0.2000358044301447","0.20003576913071236","0.20004559654998239",
"Tie rod front axle","4","0.20037799662907252","0.20028139931292097","0.20028432827126594"," ","0.20008981808511625","0.20009235182908533","0.2000922375050604","0.20020688835651385","0.20025414059726296","0.20024922575970916","0.20019459103259904","0.20024235747595417","0.2003050942203369","0.2001698943372029","0.20003148941480828","0.20003146765766877","0.2000309023255465","0.200351246513979","0.20003174551729044","0.2001423890684013","0.20017600609403485","0.20014103184862447","0.2000301589206724","0.20003028371112752","0.2000300381219729","0.20008175556770336",
"Angle sensor front axle","5","0.6336465573749227","0.6336484415888775","0.6337368078649741","0.6336676480129121"," ","0.6336554067060507","0.6336439825943596","0.6335424582456748","0.633855014257172","0.6341678577444506","0.6337095291010985","0.6338825736101341","0.6339677114186242","0.6337463551415246","0.6333699669577996","0.6333659322971824","0.6333642330151329","0.6337261848330853","0.6333626763008559","0.6333745421961574","0.6333864014301114","0.6333795228257194","0.6333634034317691","0.6333645398923027","0.6333629313056462","0.6333612584794842",
"Speedometer","6","0.6336550553509327","0.6336572382989555","0.6337283704138779","0.6337109230903951","0.6336501156814461"," ","0.6333447262256947","0.6337015346923635","0.633785099553787","0.6338817417809017","0.633800677220745","0.6338188845077288","0.6338502742142708","0.6337163836605888","0.6333902431407363","0.6333825542655259","0.6333807111629244","0.6336131357152326","0.633381045870319","0.633382934427361","0.6333951232193694","0.6333902118030734","0.633375075046853","0.6333783538686635","0.6333748395446731","0.6333705221181288",
"ECU","7","0.7003074597725855","0.7003101071987865","0.7003804710707842","0.7003627880504808","0.7003005115210228","0.700010340191543"," ","0.7003211241238109","0.7004326221502408","0.7005254951249655","0.7004451618793249","0.7004633056859666","0.7004952565813023","0.7003646825847045","0.7000542574584333","0.700046925196932","0.7000452040178534","0.700252633330113","0.7000454489093041","0.700050652336452","0.7000640769520123","0.7000579823125782","0.7000401402802067","0.7000431752371169","0.7000397056702385","0.700036197045794",
"Wheel front axle","8","0.5247026762448409","0.5166662258039327","0.2165441424378348","0.21726609233540972","0.244726847797308","0.48581834681756786","0.5234117114015862"," ","0.5143351028427773","0.5559254226604087","0.3314060766574904","0.255640747016168","0.23295507183143388","0.5528266866728314","0.5362692634461704","0.5304233089739802","0.2732903897457365","0.203608659826725","0.2477071332041099","0.21868990108691527","0.2778133565043822","0.3037502951858547","0.25181419034231345","0.2520852840513693","0.24606709914282932","0.22259439302167286",
"Hydraulic oil reservoir","9","0.20028489207114686","0.20026246129473127","0.20038351065488902","0.20030229669836055","0.20019900153341608","0.20013549595174165","0.20013611770304315","0.20020121215312045"," ","0.20054904089984882","0.20048290403114055","0.20054907774389283","0.20061305126778076","0.20032058010951598","0.20007192914916708","0.20007381351092104","0.20007388088839023","0.200269939049768","0.20007833797177832","0.20012012300747442","0.20013563494888104","0.20011620120644671","0.20006931783828225","0.20006984973749478","0.20007074674011252","0.20009804112431118",
"Steering actuation cylinder front axle","10","0.20025233002777568","0.20023130645300222","0.20033468054601072","0.20026624829513648","0.2002053900354664","0.20014072357630286","0.20014035717263454","0.20016253837390338","0.20053331763230567"," ","0.20021423002967936","0.20058832039695793","0.20066702747987453","0.20037143621302453","0.20005789183937875","0.20005917257582811","0.2000590286109002","0.20033001673513312","0.20006223389768363","0.2000609661704722","0.2000604962727637","0.20005814083397794","0.200056711232697","0.2000566967093657","0.20005695620690975","0.2000618653819707",
